org;dest;sku;volume
SUP_3_in;SUP_3_out;23;2000,000000
SUP_3_in;SUP_3_out;24;2000,000000
SUP_3_in;SUP_3_out;25;2000,000000
SUP_3_in;SUP_3_out;26;2000,000000
SUP_3_in;SUP_3_out;27;2000,000000
SUP_3_in;SUP_3_out;28;2000,000000
SUP_3_in;SUP_3_out;29;2000,000000
SUP_3_in;SUP_3_out;30;2000,000000
SUP_3_in;SUP_3_out;31;2000,000000
SUP_3_in;SUP_3_out;32;2000,000000
SUP_3_in;SUP_3_out;33;2000,000000
SUP_3_in;SUP_3_out;34;2000,000000
SUP_3_in;SUP_3_out;35;2000,000000
SUP_3_in;SUP_3_out;36;2000,000000
SUP_3_in;SUP_3_out;37;2000,000000
SUP_3_in;SUP_3_out;38;2000,000000
SUP_3_in;SUP_3_out;39;2000,000000
SUP_3_in;SUP_3_out;40;2000,000000
SUP_3_in;SUP_3_out;41;2000,000000
SUP_3_in;SUP_3_out;42;2000,000000
SUP_3_in;SUP_3_out;43;2000,000000
SUP_3_in;SUP_3_out;44;2000,000000
SUP_3_in;SUP_3_out;45;2000,000000
SUP_3_in;SUP_3_out;46;2000,000000
SUP_3_in;SUP_3_out;47;2000,000000
SUP_3_in;SUP_3_out;48;2000,000000
SUP_3_in;SUP_3_out;49;2000,000000
SUP_4_in;SUP_4_out;0;2000,000000
SUP_4_in;SUP_4_out;1;2000,000000
SUP_4_in;SUP_4_out;2;2000,000000
SUP_4_in;SUP_4_out;3;2000,000000
SUP_4_in;SUP_4_out;4;2000,000000
SUP_4_in;SUP_4_out;5;2000,000000
SUP_4_in;SUP_4_out;6;2000,000000
SUP_4_in;SUP_4_out;7;2000,000000
SUP_4_in;SUP_4_out;8;2000,000000
SUP_4_in;SUP_4_out;9;2000,000000
SUP_4_in;SUP_4_out;10;2000,000000
SUP_4_in;SUP_4_out;11;2000,000000
SUP_4_in;SUP_4_out;12;2000,000000
SUP_4_in;SUP_4_out;13;2000,000000
SUP_4_in;SUP_4_out;14;2000,000000
SUP_4_in;SUP_4_out;15;2000,000000
SUP_4_in;SUP_4_out;16;2000,000000
SUP_4_in;SUP_4_out;17;2000,000000
SUP_4_in;SUP_4_out;18;2000,000000
SUP_4_in;SUP_4_out;19;2000,000000
SUP_4_in;SUP_4_out;20;2000,000000
SUP_4_in;SUP_4_out;21;2000,000000
SUP_4_in;SUP_4_out;22;2000,000000
SUP_4_in;SUP_4_out;23;2000,000000
SUP_4_in;SUP_4_out;24;2000,000000
SUP_4_in;SUP_4_out;25;2000,000000
SUP_4_in;SUP_4_out;26;2000,000000
SUP_4_in;SUP_4_out;27;2000,000000
SUP_4_in;SUP_4_out;28;2000,000000
SUP_4_in;SUP_4_out;29;2000,000000
SUP_4_in;SUP_4_out;30;2000,000000
SUP_4_in;SUP_4_out;31;2000,000000
SUP_4_in;SUP_4_out;32;2000,000000
SUP_4_in;SUP_4_out;33;2000,000000
SUP_4_in;SUP_4_out;34;2000,000000
SUP_4_in;SUP_4_out;35;2000,000000
SUP_4_in;SUP_4_out;36;2000,000000
SUP_4_in;SUP_4_out;37;2000,000000
SUP_4_in;SUP_4_out;38;2000,000000
SUP_4_in;SUP_4_out;39;2000,000000
SUP_4_in;SUP_4_out;40;2000,000000
SUP_4_in;SUP_4_out;41;2000,000000
SUP_4_in;SUP_4_out;42;2000,000000
SUP_4_in;SUP_4_out;43;2000,000000
SUP_4_in;SUP_4_out;44;2000,000000
SUP_4_in;SUP_4_out;45;2000,000000
SUP_4_in;SUP_4_out;46;2000,000000
SUP_4_in;SUP_4_out;47;2000,000000
SUP_4_in;SUP_4_out;48;2000,000000
SUP_4_in;SUP_4_out;49;2000,000000
SUP_5_in;SUP_5_out;0;2000,000000
SUP_5_in;SUP_5_out;1;2000,000000
SUP_5_in;SUP_5_out;2;2000,000000
SUP_5_in;SUP_5_out;3;2000,000000
SUP_5_in;SUP_5_out;4;2000,000000
SUP_5_in;SUP_5_out;5;2000,000000
SUP_5_in;SUP_5_out;6;2000,000000
SUP_5_in;SUP_5_out;7;2000,000000
SUP_5_in;SUP_5_out;8;2000,000000
SUP_5_in;SUP_5_out;9;2000,000000
SUP_5_in;SUP_5_out;10;2000,000000
SUP_5_in;SUP_5_out;11;2000,000000
SUP_5_in;SUP_5_out;12;2000,000000
SUP_5_in;SUP_5_out;13;2000,000000
SUP_5_in;SUP_5_out;14;2000,000000
SUP_5_in;SUP_5_out;15;2000,000000
SUP_5_in;SUP_5_out;16;2000,000000
SUP_5_in;SUP_5_out;17;2000,000000
SUP_5_in;SUP_5_out;18;2000,000000
SUP_5_in;SUP_5_out;19;2000,000000
SUP_5_in;SUP_5_out;20;2000,000000
SUP_5_in;SUP_5_out;21;2000,000000
SUP_5_in;SUP_5_out;22;2000,000000
SUP_5_in;SUP_5_out;23;2000,000000
SUP_5_in;SUP_5_out;24;2000,000000
SUP_5_in;SUP_5_out;25;2000,000000
SUP_5_in;SUP_5_out;26;2000,000000
SUP_5_in;SUP_5_out;27;2000,000000
SUP_5_in;SUP_5_out;28;2000,000000
SUP_5_in;SUP_5_out;29;2000,000000
SUP_5_in;SUP_5_out;30;2000,000000
SUP_5_in;SUP_5_out;31;2000,000000
SUP_5_in;SUP_5_out;32;2000,000000
SUP_5_in;SUP_5_out;33;2000,000000
SUP_5_in;SUP_5_out;34;2000,000000
SUP_5_in;SUP_5_out;35;2000,000000
SUP_5_in;SUP_5_out;36;2000,000000
SUP_5_in;SUP_5_out;37;2000,000000
SUP_5_in;SUP_5_out;38;2000,000000
SUP_5_in;SUP_5_out;39;2000,000000
SUP_5_in;SUP_5_out;40;2000,000000
SUP_5_in;SUP_5_out;41;2000,000000
SUP_5_in;SUP_5_out;42;2000,000000
SUP_5_in;SUP_5_out;43;2000,000000
SUP_5_in;SUP_5_out;44;2000,000000
SUP_5_in;SUP_5_out;45;2000,000000
SUP_5_in;SUP_5_out;46;2000,000000
SUP_5_in;SUP_5_out;47;2000,000000
SUP_5_in;SUP_5_out;48;2000,000000
SUP_5_in;SUP_5_out;49;2000,000000
SUP_6_in;SUP_6_out;0;2000,000000
SUP_6_in;SUP_6_out;1;2000,000000
SUP_6_in;SUP_6_out;2;2000,000000
SUP_6_in;SUP_6_out;3;2000,000000
SUP_6_in;SUP_6_out;4;2000,000000
SUP_6_in;SUP_6_out;5;2000,000000
SUP_6_in;SUP_6_out;6;2000,000000
SUP_6_in;SUP_6_out;7;2000,000000
SUP_6_in;SUP_6_out;8;2000,000000
SUP_6_in;SUP_6_out;9;2000,000000
SUP_6_in;SUP_6_out;10;2000,000000
SUP_6_in;SUP_6_out;11;2000,000000
SUP_6_in;SUP_6_out;12;2000,000000
SUP_6_in;SUP_6_out;13;2000,000000
SUP_6_in;SUP_6_out;14;2000,000000
SUP_6_in;SUP_6_out;15;2000,000000
SUP_6_in;SUP_6_out;16;2000,000000
SUP_6_in;SUP_6_out;17;2000,000000
SUP_6_in;SUP_6_out;18;2000,000000
SUP_6_in;SUP_6_out;19;2000,000000
SUP_6_in;SUP_6_out;20;2000,000000
SUP_6_in;SUP_6_out;21;2000,000000
SUP_6_in;SUP_6_out;22;2000,000000
SUP_6_in;SUP_6_out;23;2000,000000
SUP_6_in;SUP_6_out;24;2000,000000
SUP_6_in;SUP_6_out;25;2000,000000
SUP_6_in;SUP_6_out;26;2000,000000
SUP_6_in;SUP_6_out;27;2000,000000
SUP_6_in;SUP_6_out;28;2000,000000
SUP_6_in;SUP_6_out;29;2000,000000
SUP_6_in;SUP_6_out;30;2000,000000
SUP_6_in;SUP_6_out;31;2000,000000
SUP_6_in;SUP_6_out;32;2000,000000
SUP_6_in;SUP_6_out;33;2000,000000
SUP_6_in;SUP_6_out;34;2000,000000
SUP_6_in;SUP_6_out;35;2000,000000
SUP_6_in;SUP_6_out;36;2000,000000
SUP_6_in;SUP_6_out;37;2000,000000
SUP_6_in;SUP_6_out;38;2000,000000
SUP_6_in;SUP_6_out;39;2000,000000
SUP_6_in;SUP_6_out;40;2000,000000
SUP_6_in;SUP_6_out;41;2000,000000
SUP_6_in;SUP_6_out;42;2000,000000
SUP_6_in;SUP_6_out;43;2000,000000
SUP_6_in;SUP_6_out;44;2000,000000
SUP_6_in;SUP_6_out;45;2000,000000
SUP_6_in;SUP_6_out;46;2000,000000
SUP_6_in;SUP_6_out;47;2000,000000
SUP_6_in;SUP_6_out;48;2000,000000
SUP_6_in;SUP_6_out;49;2000,000000
SUP_7_in;SUP_7_out;0;2000,000000
SUP_7_in;SUP_7_out;1;2000,000000
SUP_7_in;SUP_7_out;2;2000,000000
SUP_7_in;SUP_7_out;3;2000,000000
SUP_7_in;SUP_7_out;4;2000,000000
SUP_7_in;SUP_7_out;5;2000,000000
SUP_7_in;SUP_7_out;6;2000,000000
SUP_7_in;SUP_7_out;7;2000,000000
SUP_7_in;SUP_7_out;8;2000,000000
SUP_7_in;SUP_7_out;9;2000,000000
SUP_7_in;SUP_7_out;10;2000,000000
SUP_7_in;SUP_7_out;11;2000,000000
SUP_7_in;SUP_7_out;12;2000,000000
SUP_7_in;SUP_7_out;13;2000,000000
SUP_7_in;SUP_7_out;14;2000,000000
SUP_7_in;SUP_7_out;15;2000,000000
SUP_7_in;SUP_7_out;16;2000,000000
SUP_7_in;SUP_7_out;17;2000,000000
SUP_7_in;SUP_7_out;18;2000,000000
SUP_7_in;SUP_7_out;19;2000,000000
SUP_7_in;SUP_7_out;20;2000,000000
SUP_7_in;SUP_7_out;21;2000,000000
